,cleaan_entity_name,restaurant_name,entity_sentiment_score
71,tortilla,La Fruta Feliz,0.3942857114332063
69,tortilla,El Nuevo Mexico- Austin,0.32222222205665374
74,tortilla,Tacodeli,0.29999999536408317
67,tortilla,Amaya's Taco Village,0.24533333336313565
72,tortilla,La Mancha,0.19999999839525956
70,tortilla,El Pollo Rico,0.18412698568805816
68,tortilla,Azul Tequila,0.17111111134290696
73,tortilla,Pelons Tex-Mex,-0.005263160129911021
66,taco,Tacodeli,0.39849624004130973
63,taco,La Fruta Feliz,0.3918604655841062
59,taco,Amaya's Taco Village,0.2543766572083339
62,taco,El Pollo Rico,0.21219512166046514
61,taco,El Nuevo Mexico- Austin,0.20461538445491056
60,taco,Azul Tequila,0.17083333432674408
65,taco,Pelons Tex-Mex,0.16635513793085224
64,taco,La Mancha,0.16388889071014193
53,steak,Azul Tequila,0.42000000476837157
57,steak,Pelons Tex-Mex,0.40833332886298496
56,steak,La Fruta Feliz,0.35714285714285715
52,steak,Amaya's Taco Village,0.31666666890184086
55,steak,El Pollo Rico,-0.1000000014901161
58,steak,Tacodeli,-0.19999999925494194
54,steak,El Nuevo Mexico- Austin,-0.2000000029802322
48,shrimp,El Pollo Rico,0.8999999761581421
47,shrimp,El Nuevo Mexico- Austin,0.3818181881850416
49,shrimp,La Mancha,0.17222222147716415
46,shrimp,Azul Tequila,0.16818182170391083
50,shrimp,Pelons Tex-Mex,0.11724137874512837
51,shrimp,Tacodeli,0.1000000014901161
41,quesadilla,El Pollo Rico,0.559999993443489
45,quesadilla,Tacodeli,0.5
39,quesadilla,Azul Tequila,0.44999999925494194
40,quesadilla,El Nuevo Mexico- Austin,0.4000000038317272
44,quesadilla,Pelons Tex-Mex,0.29999999900658925
43,quesadilla,La Mancha,0.2083333327124516
38,quesadilla,Amaya's Taco Village,0.17142856866121292
42,quesadilla,La Fruta Feliz,0.1000000014901161
31,fish,Azul Tequila,0.4821428558123963
30,fish,Amaya's Taco Village,0.4260869547724724
37,fish,Tacodeli,0.3600000008940697
32,fish,El Nuevo Mexico- Austin,0.2000000029802322
36,fish,Pelons Tex-Mex,0.11538461452493301
33,fish,El Pollo Rico,0.0
34,fish,La Fruta Feliz,0.0
35,fish,La Mancha,-0.011111109620994992
25,fajita,El Pollo Rico,0.5666666502753893
24,fajita,El Nuevo Mexico- Austin,0.3133333350221316
27,fajita,La Mancha,0.25172413692905987
23,fajita,Azul Tequila,0.24333333397905033
26,fajita,La Fruta Feliz,0.2000000006877459
28,fajita,Pelons Tex-Mex,0.19999999974084937
22,fajita,Amaya's Taco Village,0.18124999975164732
29,fajita,Tacodeli,0.0
20,enchilada,Pelons Tex-Mex,0.3091743133210261
16,enchilada,El Nuevo Mexico- Austin,0.30405405224175064
14,enchilada,Amaya's Taco Village,0.26827956872281206
15,enchilada,Azul Tequila,0.24534883679345595
19,enchilada,La Mancha,0.23863636211238123
18,enchilada,La Fruta Feliz,0.1999999973922968
21,enchilada,Tacodeli,0.1000000014901161
17,enchilada,El Pollo Rico,0.0
9,chicken,El Pollo Rico,0.2721875002607703
10,chicken,La Fruta Feliz,0.20000000298023224
6,chicken,Amaya's Taco Village,0.19062499923165888
12,chicken,Pelons Tex-Mex,0.16842105376877284
7,chicken,Azul Tequila,0.15471698132888326
11,chicken,La Mancha,0.0904761893408639
13,chicken,Tacodeli,0.07999999970197677
8,chicken,El Nuevo Mexico- Austin,0.07272727313366803
5,burrito,Pelons Tex-Mex,0.33636363595724106
4,burrito,La Mancha,0.3200000077486038
0,burrito,Azul Tequila,0.16666666542490324
2,burrito,El Pollo Rico,0.1400000050663948
1,burrito,El Nuevo Mexico- Austin,0.1375000011175871
3,burrito,La Fruta Feliz,0.1000000014901161
59,tortilla,Texas Honey Ham Company,0.4666666666666667
55,tortilla,Casa Maria,0.340816324462696
58,tortilla,Taco Brother,0.3249999973922968
54,tortilla,Buenos Sabores,0.1571428562913622
56,tortilla,Fresa's Chicken al Carbon,0.1419354851047198
57,tortilla,La Mancha,0.121739127713701
61,tortilla,Wilder Wood Restaurant & Bar,0.06666667262713115
60,tortilla,Torchy's Tacos,0.044262293787276155
46,taco,Buenos Sabores,0.5173076878373439
50,taco,Taco Brother,0.5058823508374831
51,taco,Texas Honey Ham Company,0.4792156848545168
53,taco,Wilder Wood Restaurant & Bar,0.31315789018806656
47,taco,Casa Maria,0.27946428608681473
49,taco,La Mancha,0.2459999968111515
52,taco,Torchy's Tacos,0.23293051355464942
48,taco,Fresa's Chicken al Carbon,0.18445945712360176
40,steak,Casa Maria,0.7666666507720947
42,steak,La Mancha,0.485714282308306
43,steak,Taco Brother,0.4249999951571226
45,steak,Wilder Wood Restaurant & Bar,0.3341463375382307
39,steak,Buenos Sabores,0.3000000119209289
41,steak,Fresa's Chicken al Carbon,0.05000000447034837
44,steak,Torchy's Tacos,-0.1600000023841858
36,shrimp,Taco Brother,0.800000011920929
34,shrimp,Fresa's Chicken al Carbon,0.649999996026357
35,shrimp,La Mancha,0.3941176406600896
38,shrimp,Wilder Wood Restaurant & Bar,0.2652173891015675
37,shrimp,Torchy's Tacos,0.13559321718195738
33,shrimp,Casa Maria,0.033333333830038704
27,quesadilla,Buenos Sabores,0.699999988079071
28,quesadilla,Casa Maria,0.3000000104308128
31,quesadilla,Taco Brother,0.30000000447034836
30,quesadilla,La Mancha,0.17500000322858492
32,quesadilla,Torchy's Tacos,0.09999999900658925
29,quesadilla,Fresa's Chicken al Carbon,0.0
24,fish,Taco Brother,0.6799999833106994
22,fish,Casa Maria,0.45999999791383744
23,fish,La Mancha,0.28000000566244126
26,fish,Wilder Wood Restaurant & Bar,0.16999999806284904
25,fish,Torchy's Tacos,0.11249999888241291
19,fajita,Taco Brother,0.3750000009313226
18,fajita,La Mancha,0.31296296376321053
