,cleaan_entity_name,restaurant_name,entity_sentiment_score
18,enchilada,Nixta Taqueria,0.18333333440952831
17,enchilada,La Tunita 512,-0.10000000149011612
9,chicken,La Tunita 512,0.5
10,chicken,Nixta Taqueria,0.4250000063329935
13,chicken,Vaquero Taquero,0.3391304359487865
7,chicken,Con Madre Kitchen,0.19375000055879354
6,chicken,Burrito Factory,0.16000000461935998
8,chicken,Güero's Taco Bar,0.14999999962747096
11,chicken,Tacos Guerrero,0.11250000167638063
12,chicken,Torchy's Tacos,0.09830508595806058
3,burrito,La Tunita 512,0.8999999761581421
4,burrito,Tacos Guerrero,0.8999999761581421
0,burrito,Burrito Factory,0.4351145060917803
1,burrito,Con Madre Kitchen,0.3525925909479459
5,burrito,Torchy's Tacos,0.16470588393071117
2,burrito,Güero's Taco Bar,0.15
41,tortilla,Joe's Bakery & Coffee Shop,0.41812080554914155
39,tortilla,Güero's Taco Bar,0.39310344719681245
43,tortilla,Taco Flats,0.30414201125238066
42,tortilla,Polvos South,0.27745097897508564
40,tortilla,Iron Cactus Mexican Restaurant and Margarita Bar,0.13157894952516808
35,taco,Iron Cactus Mexican Restaurant and Margarita Bar,0.3190476200765088
36,taco,Joe's Bakery & Coffee Shop,0.3180064315102108
38,taco,Taco Flats,0.26940700772276144
37,taco,Polvos South,0.2385714302105563
34,taco,Güero's Taco Bar,0.22197802352545026
33,steak,Taco Flats,0.30714285905872074
32,steak,Polvos South,0.2818181812763214
31,steak,Iron Cactus Mexican Restaurant and Margarita Bar,0.2590909112583507
30,steak,Güero's Taco Bar,0.03750000521540642
27,shrimp,Iron Cactus Mexican Restaurant and Margarita Bar,0.2698113170434844
29,shrimp,Taco Flats,0.20238095184876806
26,shrimp,Güero's Taco Bar,0.16111110978656346
28,shrimp,Polvos South,0.1454545451384602
23,quesadilla,Joe's Bakery & Coffee Shop,0.34999999962747097
25,quesadilla,Taco Flats,0.33888888938559425
24,quesadilla,Polvos South,0.21500000394880772
22,quesadilla,Iron Cactus Mexican Restaurant and Margarita Bar,0.17272727123715662
21,quesadilla,Güero's Taco Bar,-0.05000000074505806
19,fish,Polvos South,0.24318182062019
20,fish,Taco Flats,0.21500000022351742
18,fish,Iron Cactus Mexican Restaurant and Margarita Bar,0.18750000031044087
17,fish,Güero's Taco Bar,0.16666666915019354
12,fajita,Güero's Taco Bar,0.32666666160027186
15,fajita,Polvos South,0.276282051912485
16,fajita,Taco Flats,0.26363636417822406
13,fajita,Iron Cactus Mexican Restaurant and Margarita Bar,0.21020408263620066
14,fajita,Joe's Bakery & Coffee Shop,0.05000000074505806
10,enchilada,Joe's Bakery & Coffee Shop,0.26206896505479155
8,enchilada,Güero's Taco Bar,0.2551020411204319
11,enchilada,Polvos South,0.1999999986667382
9,enchilada,Iron Cactus Mexican Restaurant and Margarita Bar,0.14090908860618417
3,chicken,Güero's Taco Bar,0.28000000444325535
5,chicken,Joe's Bakery & Coffee Shop,0.15000000099341074
6,chicken,Polvos South,0.14047619256944882
7,chicken,Taco Flats,0.09811320619763068
4,chicken,Iron Cactus Mexican Restaurant and Margarita Bar,0.09393939330722346
1,burrito,Iron Cactus Mexican Restaurant and Margarita Bar,0.3500000014901161
0,burrito,Güero's Taco Bar,0.15555554876724878
2,burrito,Polvos South,0.12000000327825547
42,tortilla,Dos Batos,0.35000000247622237
44,tortilla,Julio's Café,0.3035714279061982
41,tortilla,Casa Chapala Mexican Cuisine & Tequila Bar,0.1524390241176617
45,tortilla,Torchy's Tacos,0.09351851922218446
43,tortilla,Iron Cactus Mexican Restaurant and Margarita Bar,0.040000005066394805
40,taco,Torchy's Tacos,0.32191235018203934
39,taco,Julio's Café,0.27017543870106075
37,taco,Dos Batos,0.2571884980454993
38,taco,Iron Cactus Mexican Restaurant and Margarita Bar,0.23571428709796496
36,taco,Casa Chapala Mexican Cuisine & Tequila Bar,0.1624999992888082
31,steak,Casa Chapala Mexican Cuisine & Tequila Bar,0.3615384649198789
32,steak,Dos Batos,0.34047619129220646
33,steak,Iron Cactus Mexican Restaurant and Margarita Bar,0.30999999716877935
34,steak,Julio's Café,0.22499999403953552
35,steak,Torchy's Tacos,-0.03999999910593033
30,shrimp,Torchy's Tacos,0.3584158402120713
29,shrimp,Iron Cactus Mexican Restaurant and Margarita Bar,0.3357142891202654
27,shrimp,Casa Chapala Mexican Cuisine & Tequila Bar,0.18636363558471203
28,shrimp,Dos Batos,-0.1599999964237213
25,quesadilla,Julio's Café,0.2790697648428207
26,quesadilla,Torchy's Tacos,0.22500000335276127
23,quesadilla,Dos Batos,0.18571428848164423
24,quesadilla,Iron Cactus Mexican Restaurant and Margarita Bar,0.17777777794334623
22,quesadilla,Casa Chapala Mexican Cuisine & Tequila Bar,0.09999999945813959
18,fish,Casa Chapala Mexican Cuisine & Tequila Bar,0.32222222067691664
21,fish,Torchy's Tacos,0.264285712902035
20,fish,Iron Cactus Mexican Restaurant and Margarita Bar,0.15384614983430275
19,fish,Dos Batos,-0.016666663189729054
13,fajita,Casa Chapala Mexican Cuisine & Tequila Bar,0.2774647890891827
15,fajita,Iron Cactus Mexican Restaurant and Margarita Bar,0.26249999770273763
16,fajita,Julio's Café,0.25384615476314837
17,fajita,Torchy's Tacos,0.21860465199448342
14,fajita,Dos Batos,-0.30000001192092896
12,enchilada,Julio's Café,0.39029125854806995
10,enchilada,Casa Chapala Mexican Cuisine & Tequila Bar,0.2962499991990626
11,enchilada,Iron Cactus Mexican Restaurant and Margarita Bar,0.1823529397301814
8,chicken,Julio's Café,0.39741935261314915
6,chicken,Dos Batos,0.3474999999627471
9,chicken,Torchy's Tacos,0.2439560441525428
5,chicken,Casa Chapala Mexican Cuisine & Tequila Bar,0.2027027012931334
7,chicken,Iron Cactus Mexican Restaurant and Margarita Bar,0.13333333200878567
3,burrito,Julio's Café,0.44999998807907104
4,burrito,Torchy's Tacos,0.3000000033241052
0,burrito,Casa Chapala Mexican Cuisine & Tequila Bar,0.16818182102658533
1,burrito,Dos Batos,0.1666666716337204
2,burrito,Iron Cactus Mexican Restaurant and Margarita Bar,-0.20000000298023224
60,tortilla,Flavia's Kitchen,0.5382352914003765
58,tortilla,Discada,0.42857143016798155
61,tortilla,Paprika ATX,0.42222221609618926
64,tortilla,ñoños tacos,0.41481481340748294
56,tortilla,Chuy's,0.3269230749171514
59,tortilla,Dos Batos,0.3126436769962311
57,tortilla,De Nada Cantina,0.28048780269739104
62,tortilla,Tacodeli,0.17619047509062857
63,tortilla,Torchy's Tacos,0.043661971851973465
51,taco,Flavia's Kitchen,0.5318584054444744
52,taco,Paprika ATX,0.4186915899409312
55,taco,ñoños tacos,0.40499999895691874
48,taco,De Nada Cantina,0.3458333324211148
53,taco,Tacodeli,0.3447619045419352
49,taco,Discada,0.3370629359114837
50,taco,Dos Batos,0.2923240944552523
47,taco,Chuy's,0.27200000286102294
54,taco,Torchy's Tacos,0.1881188106060534
43,steak,Paprika ATX,0.6799999952316285
44,steak,Tacodeli,0.47647058700813966
46,steak,ñoños tacos,0.42499999701976776
45,steak,Torchy's Tacos,0.3749999962747097
41,steak,Dos Batos,0.3140000033378601
40,steak,Chuy's,0.23333333184321722
42,steak,Flavia's Kitchen,0.20000000298023224
38,shrimp,Tacodeli,0.5916666636864344
39,shrimp,Torchy's Tacos,0.45166666495303315
36,shrimp,De Nada Cantina,0.40399999856948854
35,shrimp,Chuy's,0.3666666630241606
37,shrimp,Paprika ATX,0.30000000074505806
30,quesadilla,Chuy's,0.4199999958276749
31,quesadilla,De Nada Cantina,0.383673470695408
33,quesadilla,Paprika ATX,0.3599999986588955
32,quesadilla,Dos Batos,0.05000000074505806
34,quesadilla,Tacodeli,0.0
25,fish,Chuy's,0.5833333283662796
28,fish,Tacodeli,0.46666666451427674
29,fish,Torchy's Tacos,0.399999996026357
27,fish,Dos Batos,0.33636363731189206
26,fish,De Nada Cantina,0.2900000013411045
22,fajita,Tacodeli,0.800000011920929
21,fajita,Flavia's Kitchen,0.5499999970197678
19,fajita,Discada,0.5
20,fajita,Dos Batos,0.34999999590218067
18,fajita,Chuy's,0.3222222208148903
24,fajita,ñoños tacos,0.24285713796104705
23,fajita,Torchy's Tacos,0.03043478241433268
17,enchilada,Flavia's Kitchen,0.550000011920929
14,enchilada,Chuy's,0.25571428856679373
