restaurant_name,id,attributes
Flavia's Kitchen,_Nb-nFJ0AWbDT0EtiKcdoA,"['Offers Delivery','Offers Takeout','No Reservations','Masks Required']"
ñoños tacos,knOY5Nt5GlmIxAadPlirvQ,"['Heath Score: 83 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Discada,kLLx0hlm7yyraE8EeT2-sQ,"['Offers Delivery', 'Offers Takeout', 'Many Vegetarian Options', 'No Reservations']"
Chuy's,k69jIL6VfzuIMmED_CEAkg,"['Heath Score: 89 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Tamale House East,irE73-NU8kJ35AvY-R9zig,"['Heath Score: 74 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Fresa's - South 1st,QT7_styx37g2-zwle0KhPw,"['Heath Score: 88 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
El Borrego De Oro,e8oZY1y1DTCSlUh6-SzZZA,"['Heath Score: 70 out of 100', 'Offers Delivery', 'Vegan Options', 'No Reservations']"
Gloria’s Latin Cuisine,bXLfGGLx61eEjjL2iKkO3g,"['Heath Score: 70 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Veracruz All Natural,vuOfLg269Rr4-moMAidLqg,"['Offers Delivery', 'Offers Takeout', 'Masks required', 'No Reservations']"
El Taquito,5WzAkhu3JY7Eue1oyJFogg,"['Heath Score: 85 out of 100', 'Offers Takeout', 'Masks required', 'No Reservations']"
Hecho En Mexico,nvrOGHRDucxeNkplIikM2A,"['Heath Score: 82 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Nissi VegMex Vegan Mexican Cuisine,vptSlLUbi3Gp_NQ2VQ-VRA,"['Offers Delivery', 'Offers Takeout', 'Many Vegetarian Options', 'No Reservations']"
Austin Taco Project,00K-UTXqg9iDoMXB3QXh0A,"['Heath Score: 88 out of 100', 'Takes Reservations', 'Offers Takeout', 'No Delivery']"
Taquero Mucho,GrnS4hEW6smYaIe_KzDOWw,"['Heath Score: 86 out of 100', 'Offers Delivery', 'Masks required', 'No Reservations']"
Taco Pegaso,FmfWiim7h_DFeZ_lSS9M3g,"['Heath Score: 77 out of 100', 'Accepts Apple Pay']"
Pepe’s Tacos,ec6X_eh2wyzFLqHbApAsuw,"['Offers Takeout', 'Masks required', 'Staff wears masks', 'Accepts Apple Pay']"
Veracruz All Natural,WlVrMlMuDc133vhTUHgpRA,"['Heath Score: 97 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Baby Acapulco,8DaOKltvuqXnh8zPGC2MFQ,"['Heath Score: 91 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Tierra Linda Taqueria,nccYQ96JTx6bBCk1oFnBjQ,"['Heath Score: 97 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Lupe Tortilla,eaI6pjS8ZdSIgeOLlJhg-w,"['Heath Score: 85 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Ken's Subs Tacos & More,8tLzmoG8Dluy80_iULO-Xg,"['Heath Score: 96 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Las Abuelas,d27P-HGCTjuBL3fWjWl7IA,"['Offers Takeout','No Reservations','No Delivery','All staff fully vaccinated']"
Taco-Mex,qByK1e9R-4fWw9yXXzLTsg,"['Heath Score: 88 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
El Chile Café Y Cantina,VXJR1VTskAKspL9G0Md1bA,"['Heath Score: 80 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Sabor Tapatio,X5gSjjYP4bgIUHTIVzOt1A,"['Offers Delivery', 'Offers Takeout', 'No Reservations', 'Masks required']"
Cisco's Restaurant Bakery & Bar,ZZTAiGThsHjZOfUF0zOzHA,"['Heath Score: 82 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Trippy Tacos,MxYFQxmLuIb-Vu278W5EMw,"['Offers Takeout', 'Vegan Options', 'No Reservations', 'No Delivery']"
Sazón,BOXmNc9VykHjj4bYZ4z2hQ,"['Heath Score: 90 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Yucatan Tacos And More,sWT6H8fs6EQnOkZ5CagfhA,"['Offers Delivery', 'Offers Takeout', 'No Reservations', 'Masks required']"
Simar Seafood Cocina,_dX5kPHrplgQOpk1hBE7mg,"['Heath Score: 81 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Vaquero's Grill,fXCceBAAZx30JEtcvA8tbQ,[]
Grizzelda's,TAWrdQ-Qh3QTa5BBAkL0hg,"['Heath Score: 92 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Pollo Regio,l0uED9EkMpje2zvSnNNmOg,"['Heath Score: 81 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Oz. Tap House,jefgDin_KoHy_JZLvQG0bA,"['Heath Score: 91 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Tacodeli,yh1B8RQquWU4D4fUGAeYuw,"['Heath Score: 91 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Pelons Tex-Mex,_rt-Z934kfFzgG19nTrIcQ,"['Heath Score: 78 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
El Nuevo Mexico- Austin,CKUn4-PX66Ms8S0FXLYGcw,"['Heath Score: 81 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
La Fruta Feliz,VO1ifwP9UJ7hjkswXaOrNA,"['Heath Score: 78 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Azul Tequila,aM-FPdJicti_TzymjW3Usg,"['Heath Score: 88 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Amaya's Taco Village,sHgRJ37WZK7B1m5U2wV33w,"['Heath Score: 85 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
El Pollo Rico,WJqcwq0pxa0No3TbOF3tXQ,"['Heath Score: 91 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
La Mancha,OpRCsjfrBtJ5CWXjVfZWhg,"['Heath Score: 71 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Buenos Sabores,87G0-NXvPAVCIE3_W2-Hmg,"['Offers Delivery', 'Offers Takeout', 'Masks required', 'No Reservations']"
Texas Honey Ham Company,pATn0K6yFj-_F4pjc9qnjQ,"['Heath Score: 89 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Torchy's Tacos,twCcFfO7fMgH5gh_qbcTrA,"['Heath Score: 92 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Bongos Authentic Mexican Food,lXOG2JsWVMS_PXgwoM-N3g,[]
