restaurant_name,id,attributes
Ken's Subs Tacos & More,8tLzmoG8Dluy80_iULO-Xg,Offers Delivery
Ken's Subs Tacos & More,8tLzmoG8Dluy80_iULO-Xg,Offers Takeout
Las Abuelas,d27P-HGCTjuBL3fWjWl7IA,Offers Takeout
Las Abuelas,d27P-HGCTjuBL3fWjWl7IA,All staff fully vaccinated
Taco-Mex,qByK1e9R-4fWw9yXXzLTsg,Health Score
Taco-Mex,qByK1e9R-4fWw9yXXzLTsg,Offers Delivery
Taco-Mex,qByK1e9R-4fWw9yXXzLTsg,Offers Takeout
El Chile Café Y Cantina,VXJR1VTskAKspL9G0Md1bA,Health Score
El Chile Café Y Cantina,VXJR1VTskAKspL9G0Md1bA,Takes Reservations
El Chile Café Y Cantina,VXJR1VTskAKspL9G0Md1bA,Offers Delivery
El Chile Café Y Cantina,VXJR1VTskAKspL9G0Md1bA,Offers Takeout
Sabor Tapatio,X5gSjjYP4bgIUHTIVzOt1A,Offers Delivery
Sabor Tapatio,X5gSjjYP4bgIUHTIVzOt1A,Offers Takeout
Cisco's Restaurant Bakery & Bar,ZZTAiGThsHjZOfUF0zOzHA,Health Score
Cisco's Restaurant Bakery & Bar,ZZTAiGThsHjZOfUF0zOzHA,Offers Delivery
Cisco's Restaurant Bakery & Bar,ZZTAiGThsHjZOfUF0zOzHA,Offers Takeout
Trippy Tacos,MxYFQxmLuIb-Vu278W5EMw,Offers Takeout
Trippy Tacos,MxYFQxmLuIb-Vu278W5EMw,Vegan Options
Sazón,BOXmNc9VykHjj4bYZ4z2hQ,Health Score
Sazón,BOXmNc9VykHjj4bYZ4z2hQ,Offers Delivery
Sazón,BOXmNc9VykHjj4bYZ4z2hQ,Offers Takeout
Yucatan Tacos And More,sWT6H8fs6EQnOkZ5CagfhA,Offers Delivery
Yucatan Tacos And More,sWT6H8fs6EQnOkZ5CagfhA,Offers Takeout
Simar Seafood Cocina,_dX5kPHrplgQOpk1hBE7mg,Health Score
Simar Seafood Cocina,_dX5kPHrplgQOpk1hBE7mg,Takes Reservations
Simar Seafood Cocina,_dX5kPHrplgQOpk1hBE7mg,Offers Delivery
Simar Seafood Cocina,_dX5kPHrplgQOpk1hBE7mg,Offers Takeout
Grizzelda's,TAWrdQ-Qh3QTa5BBAkL0hg,Health Score
Grizzelda's,TAWrdQ-Qh3QTa5BBAkL0hg,Takes Reservations
Grizzelda's,TAWrdQ-Qh3QTa5BBAkL0hg,Offers Delivery
Grizzelda's,TAWrdQ-Qh3QTa5BBAkL0hg,Offers Takeout
Pollo Regio,l0uED9EkMpje2zvSnNNmOg,Health Score
Pollo Regio,l0uED9EkMpje2zvSnNNmOg,Takes Reservations
Pollo Regio,l0uED9EkMpje2zvSnNNmOg,Offers Delivery
Pollo Regio,l0uED9EkMpje2zvSnNNmOg,Offers Takeout
Oz. Tap House,jefgDin_KoHy_JZLvQG0bA,Health Score
Oz. Tap House,jefgDin_KoHy_JZLvQG0bA,Offers Delivery
Oz. Tap House,jefgDin_KoHy_JZLvQG0bA,Offers Takeout
Tacodeli,yh1B8RQquWU4D4fUGAeYuw,Health Score
Tacodeli,yh1B8RQquWU4D4fUGAeYuw,Offers Delivery
Tacodeli,yh1B8RQquWU4D4fUGAeYuw,Offers Takeout
Pelons Tex-Mex,_rt-Z934kfFzgG19nTrIcQ,Health Score
Pelons Tex-Mex,_rt-Z934kfFzgG19nTrIcQ,Takes Reservations
Pelons Tex-Mex,_rt-Z934kfFzgG19nTrIcQ,Offers Takeout
Pelons Tex-Mex,_rt-Z934kfFzgG19nTrIcQ,Masks required
El Nuevo Mexico- Austin,CKUn4-PX66Ms8S0FXLYGcw,Health Score
El Nuevo Mexico- Austin,CKUn4-PX66Ms8S0FXLYGcw,Takes Reservations
El Nuevo Mexico- Austin,CKUn4-PX66Ms8S0FXLYGcw,Offers Delivery
El Nuevo Mexico- Austin,CKUn4-PX66Ms8S0FXLYGcw,Offers Takeout
La Fruta Feliz,VO1ifwP9UJ7hjkswXaOrNA,Health Score
La Fruta Feliz,VO1ifwP9UJ7hjkswXaOrNA,Offers Delivery
La Fruta Feliz,VO1ifwP9UJ7hjkswXaOrNA,Offers Takeout
Azul Tequila,aM-FPdJicti_TzymjW3Usg,Health Score
Azul Tequila,aM-FPdJicti_TzymjW3Usg,Offers Delivery
Azul Tequila,aM-FPdJicti_TzymjW3Usg,Offers Takeout
Amaya's Taco Village,sHgRJ37WZK7B1m5U2wV33w,Health Score
Amaya's Taco Village,sHgRJ37WZK7B1m5U2wV33w,Offers Delivery
Amaya's Taco Village,sHgRJ37WZK7B1m5U2wV33w,Offers Takeout
El Pollo Rico,WJqcwq0pxa0No3TbOF3tXQ,Health Score
El Pollo Rico,WJqcwq0pxa0No3TbOF3tXQ,Offers Delivery
El Pollo Rico,WJqcwq0pxa0No3TbOF3tXQ,Offers Takeout
La Mancha,OpRCsjfrBtJ5CWXjVfZWhg,Health Score
La Mancha,OpRCsjfrBtJ5CWXjVfZWhg,Takes Reservations
La Mancha,OpRCsjfrBtJ5CWXjVfZWhg,Offers Delivery
La Mancha,OpRCsjfrBtJ5CWXjVfZWhg,Offers Takeout
Buenos Sabores,87G0-NXvPAVCIE3_W2-Hmg,Offers Delivery
Buenos Sabores,87G0-NXvPAVCIE3_W2-Hmg,Offers Takeout
Buenos Sabores,87G0-NXvPAVCIE3_W2-Hmg,Masks required
Texas Honey Ham Company,pATn0K6yFj-_F4pjc9qnjQ,Health Score
Texas Honey Ham Company,pATn0K6yFj-_F4pjc9qnjQ,Offers Delivery
Texas Honey Ham Company,pATn0K6yFj-_F4pjc9qnjQ,Offers Takeout
Torchy's Tacos,twCcFfO7fMgH5gh_qbcTrA,Health Score
Torchy's Tacos,twCcFfO7fMgH5gh_qbcTrA,Offers Delivery
Torchy's Tacos,twCcFfO7fMgH5gh_qbcTrA,Offers Takeout
Taco Brother,-8LDoPjHsg6QM1djzneCTw,Offers Takeout
Taco Brother,-8LDoPjHsg6QM1djzneCTw,Masks required
Casa Maria,SnET6UQ6uDiKEdP15L4Zbw,Health Score
Casa Maria,SnET6UQ6uDiKEdP15L4Zbw,Offers Delivery
Casa Maria,SnET6UQ6uDiKEdP15L4Zbw,Offers Takeout
Wilder Wood Restaurant & Bar,uhjDfyNP7XxR8WV9Y2SINA,Takes Reservations
Wilder Wood Restaurant & Bar,uhjDfyNP7XxR8WV9Y2SINA,Offers Delivery
Wilder Wood Restaurant & Bar,uhjDfyNP7XxR8WV9Y2SINA,Offers Takeout
Wilder Wood Restaurant & Bar,uhjDfyNP7XxR8WV9Y2SINA,By Appointment Only
Fresa's Chicken al Carbon,vyb9Ud7CT1F2kDtFOuTlVw,Health Score
Fresa's Chicken al Carbon,vyb9Ud7CT1F2kDtFOuTlVw,Offers Delivery
Fresa's Chicken al Carbon,vyb9Ud7CT1F2kDtFOuTlVw,Offers Takeout
Taco More,Q9xmImP2KKS1we8EzBOmVQ,Health Score
Taco More,Q9xmImP2KKS1we8EzBOmVQ,Offers Delivery
Taco More,Q9xmImP2KKS1we8EzBOmVQ,Offers Takeout
El Tacorrido,4PufI6Mz9Q-1coFLGApudA,Health Score
El Tacorrido,4PufI6Mz9Q-1coFLGApudA,Masks required
El Tacorrido,4PufI6Mz9Q-1coFLGApudA,Staff wears masks
Kesos Tacos,tc-miuh1kIkkdXizliGFuw,Health Score
Kesos Tacos,tc-miuh1kIkkdXizliGFuw,Offers Delivery
Kesos Tacos,tc-miuh1kIkkdXizliGFuw,Offers Takeout
Chuy's,GxSmuTCzGuHwu9ozwB8_0w,Health Score
Chuy's,GxSmuTCzGuHwu9ozwB8_0w,Offers Delivery
Chuy's,GxSmuTCzGuHwu9ozwB8_0w,Offers Takeout
Manuel's,DDKAp6wVkZtmv5gdk6FMIQ,Health Score
Manuel's,DDKAp6wVkZtmv5gdk6FMIQ,Takes Reservations
Manuel's,DDKAp6wVkZtmv5gdk6FMIQ,Offers Delivery
Manuel's,DDKAp6wVkZtmv5gdk6FMIQ,Offers Takeout
Cabo Bob's Burritos,EDvNWxQj95QWwzUdjgezmw,Health Score
Cabo Bob's Burritos,EDvNWxQj95QWwzUdjgezmw,Offers Takeout
Marcelino's,k5HBvQzRa21pph7zgaivag,Health Score
Marcelino's,k5HBvQzRa21pph7zgaivag,Offers Takeout
El Mesón,AUIMVCbPTUrF6AKf2TjZqQ,Health Score
El Mesón,AUIMVCbPTUrF6AKf2TjZqQ,Takes Reservations
El Mesón,AUIMVCbPTUrF6AKf2TjZqQ,Offers Delivery
El Mesón,AUIMVCbPTUrF6AKf2TjZqQ,Offers Takeout
Un Mundo De Sabor,NCTABDSddX6O9y-QN__L1Q,Offers Takeout
Un Mundo De Sabor,NCTABDSddX6O9y-QN__L1Q,Vegan Options
Capital Taco,J3L6Vo-Pe0PGyTxhuT8bSw,Offers Delivery
Capital Taco,J3L6Vo-Pe0PGyTxhuT8bSw,Offers Takeout
Capital Taco,J3L6Vo-Pe0PGyTxhuT8bSw,Staff wears masks
Chupacabra Cantina Y Tacqueria,936JLLXsTk58KaUn1BOMyw,Health Score
Chupacabra Cantina Y Tacqueria,936JLLXsTk58KaUn1BOMyw,Offers Takeout
El Naranjo South Lamar,o6zI8zxv6LTZa9MGs6TB9A,Health Score
El Naranjo South Lamar,o6zI8zxv6LTZa9MGs6TB9A,Takes Reservations
El Naranjo South Lamar,o6zI8zxv6LTZa9MGs6TB9A,Offers Takeout
La Posada Mexican Restaurant,_SrhcpsPD7tX0AutRGKSnw,Health Score
La Posada Mexican Restaurant,_SrhcpsPD7tX0AutRGKSnw,Takes Reservations
La Posada Mexican Restaurant,_SrhcpsPD7tX0AutRGKSnw,Offers Takeout
Pollo Regio,StC6I0fRK8d54IwHfN3bpg,Health Score
Pollo Regio,StC6I0fRK8d54IwHfN3bpg,Takes Reservations
Pollo Regio,StC6I0fRK8d54IwHfN3bpg,Offers Delivery
Pollo Regio,StC6I0fRK8d54IwHfN3bpg,Offers Takeout
Pueblo Viejo Traila,mEUjYBoWX6onGMWhMz9gOQ,Offers Takeout
Pueblo Viejo Traila,mEUjYBoWX6onGMWhMz9gOQ,Vegan Options
Granny's Tacos,AISZmR-xAmGi7jsWNKwhMg,Offers Takeout
Granny's Tacos,AISZmR-xAmGi7jsWNKwhMg,Staff wears masks
Granny's Tacos,AISZmR-xAmGi7jsWNKwhMg,Vegan Options
Mr Natural,GwF9MLWb34ttSRQdgEypEQ,Health Score
Mr Natural,GwF9MLWb34ttSRQdgEypEQ,Offers Takeout
Las Cazuelas Mexican Restaurant,QE2WUvdPySHBQ7Xu41dDPA,Health Score
Las Cazuelas Mexican Restaurant,QE2WUvdPySHBQ7Xu41dDPA,Takes Reservations
Las Cazuelas Mexican Restaurant,QE2WUvdPySHBQ7Xu41dDPA,Offers Takeout
Las Cazuelas Mexican Restaurant,QE2WUvdPySHBQ7Xu41dDPA,Many Vegetarian Options
Taqueria Arandas,MBcCGInWjSqZVkRa6BAt1g,Health Score
Taqueria Arandas,MBcCGInWjSqZVkRa6BAt1g,Offers Delivery
Taqueria Arandas,MBcCGInWjSqZVkRa6BAt1g,Offers Takeout
El Caribe Mexican Restaurant,fMoq8jat2U7aig8ZXoZKlA,Health Score
El Caribe Mexican Restaurant,fMoq8jat2U7aig8ZXoZKlA,Offers Takeout
Maudie's North Lamar,k8zC6EKsEA_zPMERW4dnhQ,Health Score
Maudie's North Lamar,k8zC6EKsEA_zPMERW4dnhQ,Offers Takeout
Tortillería Río Grande,lY3zSBjWrl2TLdvxUfhL1g,Health Score
Tortillería Río Grande,lY3zSBjWrl2TLdvxUfhL1g,Offers Takeout
Taqueria Anyeli,BQZ6_qTCYHu_SO1eXyKArg,Offers Delivery
Taqueria Anyeli,BQZ6_qTCYHu_SO1eXyKArg,Offers Takeout
Taqueria Anyeli,BQZ6_qTCYHu_SO1eXyKArg,Many Vegetarian Options
South Austin Trailer Park & Eatery,SVhakVk93aGZDHKh4XqLAw,Offers Delivery
South Austin Trailer Park & Eatery,SVhakVk93aGZDHKh4XqLAw,Accepts Credit Cards
Taqueria Chapala,UP-0M9GmRvN9yKMyFGyCDw,Health Score
Taqueria Chapala,UP-0M9GmRvN9yKMyFGyCDw,Offers Delivery
Taqueria Chapala,UP-0M9GmRvN9yKMyFGyCDw,Offers Takeout
Taquito Aviles,krABAHO0lvUVLFFPvd_NDw,Many Vegetarian Options
Taquito Aviles,krABAHO0lvUVLFFPvd_NDw,Accepts Credit Cards
Vazquez Restaurant,KLZNYrPiFOZAvUrtQE6MiA,Health Score
Vazquez Restaurant,KLZNYrPiFOZAvUrtQE6MiA,Offers Takeout
Taqueria Morelos,iAylJ20u1GYYbcOTd8-r6A,Health Score
Taqueria Morelos,iAylJ20u1GYYbcOTd8-r6A,Offers Delivery
Taqueria Morelos,iAylJ20u1GYYbcOTd8-r6A,Offers Takeout
Cheko’s,JoZmPR16sGyP2nbTWHVY0A,Takes Reservations
Cheko’s,JoZmPR16sGyP2nbTWHVY0A,Offers Delivery
Cheko’s,JoZmPR16sGyP2nbTWHVY0A,Offers Takeout
Cheko’s,JoZmPR16sGyP2nbTWHVY0A,Masks required
Taqueria Los Altos,a3SMwlidgbKE6UytxMfG6w,Health Score
Taqueria Los Altos,a3SMwlidgbKE6UytxMfG6w,Offers Delivery
Taqueria Los Altos,a3SMwlidgbKE6UytxMfG6w,Offers Takeout
Taqueria Los Jaliscienses,OrdugQW3-3X3Os7SXH53gQ,Health Score
Taqueria Los Jaliscienses,OrdugQW3-3X3Os7SXH53gQ,Staff wears masks
Taqueria Los Jaliscienses,OrdugQW3-3X3Os7SXH53gQ,Vegan Options
Tacodeli,IdqPtYXz6lhnKN0pTd_Z9Q,Health Score
Tacodeli,IdqPtYXz6lhnKN0pTd_Z9Q,Offers Delivery
Tacodeli,IdqPtYXz6lhnKN0pTd_Z9Q,Offers Takeout
Tacos Ivan,L5ndtXhe0Q23MnVYTxkSVA,Health Score
Tacos Ivan,L5ndtXhe0Q23MnVYTxkSVA,Offers Takeout
Lupe Tortilla,ZTnsL3Fh95QvJLrKH8upMw,Health Score
Lupe Tortilla,ZTnsL3Fh95QvJLrKH8upMw,Offers Delivery
Lupe Tortilla,ZTnsL3Fh95QvJLrKH8upMw,Offers Takeout
Tacos Y Tortas El Chilango,Gg7r_9nSBmVyOx80fpa7ug,Offers Delivery
Tacos Y Tortas El Chilango,Gg7r_9nSBmVyOx80fpa7ug,Offers Takeout
Tacos Y Tortas El Chilango,Gg7r_9nSBmVyOx80fpa7ug,Many Vegetarian Options
Taqueria Chapala #1,cfYWWw8579WMWe4oFsa6Gw,Health Score
Taqueria Chapala #1,cfYWWw8579WMWe4oFsa6Gw,Offers Delivery
Taqueria Chapala #1,cfYWWw8579WMWe4oFsa6Gw,Offers Takeout
Pueblo Viejo Riverside,f3fl1UNbjk7WDM6gIFgVzg,Takes Reservations
Pueblo Viejo Riverside,f3fl1UNbjk7WDM6gIFgVzg,Offers Delivery
Pueblo Viejo Riverside,f3fl1UNbjk7WDM6gIFgVzg,Masks required
Pueblo Viejo Riverside,f3fl1UNbjk7WDM6gIFgVzg,Staff wears masks
Matamoros Tacos,CvQIp5GL-9iOT9Tnvi354w,Health Score
Matamoros Tacos,CvQIp5GL-9iOT9Tnvi354w,Offers Takeout
Brazas Taco House,81bhH91cqsmqkMxx8M47-Q,Health Score
Brazas Taco House,81bhH91cqsmqkMxx8M47-Q,Offers Delivery
Brazas Taco House,81bhH91cqsmqkMxx8M47-Q,Offers Takeout
Taco Baby,#NAME?,Offers Takeout
Taco Baby,#NAME?,Accepts Credit Cards
Vaquero's Cafe and Cantina,HtkgiA-P5Ute-6KzYsryQQ,Health Score
Vaquero's Cafe and Cantina,HtkgiA-P5Ute-6KzYsryQQ,Takes Reservations
Vaquero's Cafe and Cantina,HtkgiA-P5Ute-6KzYsryQQ,Offers Takeout
Vaquero's Cafe and Cantina,HtkgiA-P5Ute-6KzYsryQQ,Staff wears masks
